Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,0.16919501,334.6363636363636,1194.006110623558,22.077372,66.55814,4.079090134664015,8.15818026932803,0.0,1.0
20000,0.4116554,791.6666666666666,1181.0200576287139,49.222473,86.23122,15.312664810816447,30.625329621632893,0.0,1.0
30000,0.07745638,494.3157894736842,1164.0399435489,61.757492,68.924866,7.345262003572364,14.690524007144727,306.6842105263158,1.0
40000,0.0015109862,231.33333333333334,1144.0659438144407,74.6328,98.360115,2.093332812899635,4.18666562579927,232.33333333333334,1.0
50000,5.4060092e-05,638.8695652173913,1122.1851718800176,52.077778,67.3212,10.261737709460052,20.523475418920103,590.6328527201777,1.0
60000,2.6781692e-05,476.04761904761904,1101.4679645653287,61.625107,76.36622,7.120951239551816,14.241902479103633,475.4163822900681,1.0
70000,0.0032365285,242.8095238095238,1081.1737252306245,30.079575,78.60666,5.303809134733109,10.607618269466219,192.92905006469005,1.0
80000,0.0016476307,644.2173913043479,1060.2199375761404,40.507362,87.57001,12.229544032703746,24.459088065407492,644.6748081987554,1.0
90000,0.01794107,526.5217391304348,1038.2744728201612,47.027992,85.970215,9.116520368534585,18.23304073706917,313.38724531686825,1.0
100000,0.0026936373,239.0,1016.3336161483875,41.751953,77.61501,5.869544883343306,11.739089766686613,197.1669603586197,1.0
110000,7.940224e-05,210.05,995.8958734430267,15.815273,45.4751,1.700999492406845,3.40199898481369,147.99054106920957,1.0
120000,0.00046533393,379.54545454545456,974.9677922298871,21.258093,61.841152,5.309090039946816,10.618180079893632,258.0058107403192,1.0
130000,0.00045538816,592.2692307692307,951.1767696088668,17.58478,69.95534,9.5388447871575,19.077689574315,246.58080239593983,1.0
140000,0.013427987,248.6315789473684,930.6604885705075,26.589663,85.129524,12.288415014743805,24.57683002948761,38.097013469589385,1.0
150000,0.019121613,500.39130434782606,909.7651112277073,18.756546,67.31871,9.242607544297757,18.485215088595513,231.43320431981397,1.0
160000,0.0012714636,484.7142857142857,887.9362743438836,24.459833,63.314117,10.044284555174055,20.08856911034811,180.62027808598108,1.0
170000,5.2098163e-05,241.9,868.5182117211922,25.443665,60.634933,2.1364994436502456,4.272998887300491,27.456986102461816,1.0
180000,2.2924853e-05,620.0416666666666,847.9663190638142,38.064495,86.21413,9.735831884046396,19.471663768092792,196.50752302010855,1.0
190000,0.00048179834,485.9230769230769,823.9144627982278,51.40364,81.17794,7.5269219520000314,15.053843904000063,163.40916362634073,1.0
