Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,0.45244646,41.40196078431372,1149.1021829357978,-104.287926,-8.584983,1.6339596129289948,1.6339596129289948,0.0,1.0
10000,0.35177103,152.96875,1085.7935220804598,-117.14451,-28.096272,12.919693896264741,12.919693896264741,0.0,1.0
15000,0.27423322,52.13978494623656,1026.627819682407,-99.24112,-8.827801,2.3547816976256994,2.3547816976256994,37.391304347826086,1.0
20000,0.36443695,73.13513513513513,948.6948615081045,-94.26288,-9.930375,5.3389173295046835,5.3389173295046835,80.56756756756756,1.0
25000,0.285407,48.68571428571428,860.1045983456055,-82.42246,-20.376966,1.9833324364253453,1.9833324364253453,47.55238095238095,1.0
30000,0.31621966,56.24657534246575,772.1331481388308,-101.32367,-16.472551,3.178532180786133,3.178532180786133,59.16,1.0
35000,0.3530304,69.28571428571429,702.4019203269121,-84.48912,-6.2939925,4.447745112466141,4.447745112466141,63.82487642765045,1.0
40000,0.31556296,58.72222222222222,625.6563863326439,-74.33967,4.5759172,3.3729988435904183,3.3729988435904183,51.7532675092419,1.0
45000,0.388584,113.97435897435898,566.3742119127011,-92.395515,-11.131365,9.027689981154907,9.027689981154907,82.70838144899179,1.0
50000,0.53539586,103.54716981132076,524.0099924242251,-75.251755,-29.806202,7.7913186578255775,7.7913186578255775,30.8950206389967,1.0
55000,0.60148513,61.674698795180724,460.89072547481646,-68.42775,-12.952803,3.6149385363222604,3.6149385363222604,19.625736368326358,1.0
60000,0.5534519,85.7,396.4962844089652,-56.638332,-27.12477,6.377455885632563,6.377455885632563,63.05006251648321,1.0
65000,0.3890672,56.5125,335.28936842187545,-96.4725,13.750405,2.9817273006027127,2.9817273006027127,9.126167036317012,1.0
70000,0.5028583,81.5223880597015,274.21244877919133,-73.41975,8.129349,5.687422563632329,5.687422563632329,15.886475775503751,1.0
75000,0.58706105,71.29508196721312,223.93778979101168,-58.337883,-21.092983,4.526228109344107,4.526228109344107,11.802043663429432,1.0
80000,0.4922277,64.375,173.58805693854188,-79.269135,-5.4588304,3.8268481060250163,3.8268481060250163,8.73531396804403,1.0
85000,0.4353955,62.733333333333334,118.38174996816767,-48.16129,-23.76527,3.6301098701026704,3.6301098701026704,15.199946365733114,1.0
90000,0.36122575,56.59090909090909,64.20063163702585,-67.303154,-11.6761875,2.960458678075637,2.960458678075637,6.502759168716683,1.0
95000,0.45920235,38.45238095238095,6.699752998683978,-58.552406,-3.8405252,1.1035707330419904,1.1035707330419904,4.92911052538289,1.0
100000,0.340263,95.97826086956522,-33.882982391904555,-37.2165,-9.197885,7.297232096499585,7.297232096499585,34.164626249488684,1.0
105000,0.39729866,44.03603603603604,-66.35279933818667,-59.718185,-11.511375,1.870999147404324,1.870999147404324,5.3596661316738885,1.0
110000,0.35702026,45.18478260869565,-104.91286725157116,-62.605354,-4.118345,2.005375458989092,2.005375458989092,2.3307127559217076,1.0
115000,0.32912096,59.166666666666664,-133.70158789355372,-57.801113,-16.046545,3.4539988703197904,3.4539988703197904,4.671687352843582,1.0
120000,0.51007855,47.244680851063826,-160.4290393924827,-57.64227,-15.572227,2.3053675165301875,2.3053675165301875,6.1519786966082295,1.0
125000,0.34125137,46.4954954954955,-187.88033854305962,-57.97577,-6.2496157,2.023152286941941,2.023152286941941,4.012483277567872,1.0
130000,0.5426474,48.875,-213.75775441869803,-48.938675,-11.437111,2.317114467231127,2.317114467231127,2.4609508188441396,1.0
135000,0.618009,75.36363636363636,-232.25885983421514,-40.495613,-22.195759,4.8767148994687775,4.8767148994687775,3.1382433170758524,1.0
140000,0.30047986,70.52380952380952,-243.72552711600446,-58.26976,-9.484574,4.578546983580435,4.578546983580435,3.9252394079681365,1.0
145000,0.35938028,61.252873563218394,-254.70629324284033,-50.148804,-20.551867,3.505171223618518,3.505171223618518,2.1910215587108985,1.0
150000,0.23722973,53.36708860759494,-268.5481650266875,-50.72521,-7.3382072,2.9566239956766367,2.9566239956766367,1.587729684705846,1.0
155000,0.4215979,70.34210526315789,-280.16818214290436,-50.56437,-10.773656,4.886362186500004,4.886362186500004,2.5078440562084126,1.0
160000,0.40788648,62.333333333333336,-292.33248287798284,-49.427135,-10.33643,3.4866238210350273,3.4866238210350273,2.1623700206167995,1.0
165000,0.571648,64.76119402985074,-303.1818287071396,-35.80172,-11.1799555,3.9204398305977093,3.9204398305977093,4.6581625374691455,1.0
170000,0.57028633,63.72727272727273,-310.80845587760837,-47.363327,-2.045638,3.96052504095592,3.96052504095592,2.920160554986643,1.0
175000,0.39053276,44.65811965811966,-323.1816253685147,-39.667957,-16.973492,1.7283041964648134,1.7283041964648134,1.3470669840541432,1.0
180000,0.39620125,55.7752808988764,-336.40560001358114,-47.62048,-17.026918,3.175055079245835,3.175055079245835,2.5453097696384686,1.0
185000,0.38016015,42.38333333333333,-348.0102048834027,-43.02773,-7.921574,1.5642008676248438,1.5642008676248438,1.331183192547129,1.0
190000,0.3913439,66.84285714285714,-358.42353582473527,-42.208115,-4.7977724,4.054646540695513,4.054646540695513,1.8508361978062862,1.0
195000,0.18323575,59.92045454545455,-366.0744045781844,-46.775227,-8.08334,4.0104925558890825,4.0104925558890825,2.2874252550579883,1.0
200000,0.4516378,43.656565656565654,-375.0545167265799,-38.678066,-0.45741025,1.5756182738712856,1.5756182738712856,1.2100196964683987,1.0
205000,0.32595718,59.70666666666666,-383.787294924307,-48.93787,-13.903139,3.595865534543991,3.595865534543991,1.6864127791921297,1.0
210000,0.49852672,50.666666666666664,-390.1366820866873,-38.67697,-9.504095,2.5075990718603136,2.5075990718603136,2.415513124037534,1.0
215000,0.31288847,50.676767676767675,-398.69717300355336,-40.162834,-8.323044,2.5450495096168133,2.5450495096168133,2.518071044217607,1.0
220000,0.53779113,53.22222222222222,-406.55851620494667,-38.370262,-6.6128154,2.6728878809346095,2.6728878809346095,1.6010762877141436,1.0
225000,0.35965338,39.549180327868854,-415.2666862273174,-38.61493,-10.603752,1.3815439486406682,1.3815439486406682,1.1214537434582788,1.0
230000,0.3723441,39.30769230769231,-425.0413127820932,-33.670452,-6.164431,1.2145291638170552,1.2145291638170552,1.393590408253969,1.0
235000,0.5763658,71.33823529411765,-432.2850193473232,-31.308496,-9.2542095,4.511192618021324,4.511192618021324,4.590421252491287,1.0
240000,0.40400136,50.22222222222222,-438.57570230268016,-36.650303,-5.2893357,2.504799036979675,2.504799036979675,1.4502664534561336,1.0
245000,0.3259339,46.72115384615385,-445.955265074141,-38.52598,-14.128315,2.0876914251309175,2.0876914251309175,1.6893978217759957,1.0
250000,0.4218476,90.8135593220339,-450.156053679821,-36.506523,-18.502964,6.811015120502246,6.811015120502246,4.375792669037641,1.0
255000,0.4742371,47.85436893203884,-455.2179096935766,-35.030224,-2.1981313,2.233979694472933,2.233979694472933,1.7105358080052346,1.0
260000,0.36504236,58.81707317073171,-458.4766417958463,-30.795406,-2.174296,3.2117061600452517,3.2117061600452517,1.2836611261364164,1.0
265000,0.5195781,53.8421052631579,-463.3087507631695,-28.024994,-10.067132,2.7711568691228567,2.7711568691228567,2.7787501943934907,1.0
270000,0.45139092,70.015625,-468.0025775786488,-25.766441,-28.288662,4.59437358751893,4.59437358751893,1.604655448354606,1.0
275000,0.6489367,55.4,-472.38461490257316,-22.347761,-16.859127,2.8539989088710986,2.8539989088710986,2.258981605364304,1.0
280000,0.42303452,40.666666666666664,-478.7803737570954,-24.506014,-12.046503,1.4539992322524389,1.4539992322524389,1.0393776992956798,1.0
285000,0.4850379,44.84,-484.44918003979694,-31.717228,-4.884757,1.9531363803966373,1.9531363803966373,1.1588911112653566,1.0
290000,0.48470095,55.72289156626506,-489.2313584761918,-29.142223,-14.791708,2.9562639974686036,2.9562639974686036,1.040851392951536,1.0
295000,0.60215753,87.85714285714286,-491.18001731491216,-23.911392,-16.261312,6.284601380900731,6.284601380900731,1.4950739232793686,1.0
300000,0.39928856,54.19101123595506,-495.1224823001331,-28.092022,-11.5484085,2.8289000624483758,2.8289000624483758,0.9565422698282279,1.0
305000,0.48615292,50.41379310344828,-499.5220442573068,-22.800793,-16.622055,2.5525571551433828,2.5525571551433828,1.406383933326186,1.0
310000,0.39133683,47.97196261682243,-503.887448559312,-27.055994,-11.928467,2.282989724774227,2.282989724774227,0.8164962655472978,1.0
315000,0.5253469,43.55855855855856,-508.6287255809673,-21.643436,-10.338254,1.648647824654708,1.648647824654708,1.6610578464360926,1.0
320000,0.5158738,43.26732673267327,-513.936982854727,-22.188099,-14.128429,1.5780384251300026,1.5780384251300026,1.8614189986723895,1.0
325000,0.47478688,60.40217391304348,-518.0559195504859,-21.60246,-25.126066,3.6086801152962904,3.6086801152962904,3.247222442333433,1.0
330000,0.5188285,54.406976744186046,-521.7787775327073,-25.191837,-8.702002,2.582208283072294,2.582208283072294,2.2429906907125896,1.0
