Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
365000,0.4497163,70.10416666666667,-2.4703853,26.292147,-2.42946664763925,-2.42946664763925,0.3511766683513997,1.0
370000,0.4036956,166.94117647058823,-7.396771,32.271305,-1.9208146747859085,-1.9208146747859085,0.5059037552872563,1.0
375000,0.40480787,77.57142857142857,-4.577765,16.018152,-2.3076671258147274,-2.3076671258147274,0.2172648181839447,1.0
380000,0.33683494,88.33333333333333,-6.115795,15.866663,-2.4111541462286064,-2.4111541462286064,0.260982316142569,1.0
385000,0.30049825,181.96428571428572,-7.7144723,14.351656,-2.1255481399043843,-2.1255481399043843,0.27201820310545843,1.0
390000,0.181829,126.36585365853658,-8.473638,22.804916,-2.0309785649712597,-2.0309785649712597,1.1399153822844492,1.0
395000,0.31292266,85.0,-8.415644,23.277359,-2.4946015671856943,-2.4946015671856943,4.291793639268426,1.0
400000,0.3462002,130.21875,-8.193091,22.550852,-1.9928757379000837,-1.9928757379000837,0.2738138187295673,1.0
405000,0.26691723,136.21052631578948,-7.9819255,22.28555,-1.9159604887429036,-1.9159604887429036,1.3349291563744803,1.0
410000,0.37813893,140.3421052631579,-7.9273148,22.731638,-1.9644631339531196,-1.9644631339531196,0.3117269646302846,1.0
415000,0.4045693,75.2063492063492,-9.782514,19.805164,-2.4957460273234617,-2.4957460273234617,0.33181478369459955,1.0
420000,0.24428883,112.51020408163265,-8.280753,21.35765,-2.1767437261684486,-2.1767437261684486,0.6584368372035291,1.0
425000,0.23082426,66.27941176470588,-10.476837,19.427475,-2.3977681072293846,-2.3977681072293846,0.30686752328757144,1.0
430000,0.614252,98.27272727272727,-5.8766823,20.613909,-2.3330386331812902,-2.3330386331812902,0.40925563126802444,1.0
435000,0.37750182,84.69491525423729,-4.677664,17.825546,-2.1521525200519522,-2.1521525200519522,0.16786906193799767,1.0
440000,0.4540144,140.425,-6.4897275,22.277699,-2.3554922852378626,-2.3554922852378626,0.2051302267310138,1.0
445000,0.34745905,92.42,-9.681748,22.209572,-2.114850982731464,-2.114850982731464,0.41281044038067405,1.0
450000,0.47728878,200.20833333333334,-6.242121,16.649946,-1.966058304688583,-1.966058304688583,0.40759721836851287,1.0
455000,0.32121775,74.44776119402985,-8.923679,17.997856,-2.5221119307871187,-2.5221119307871187,0.3602337384485264,1.0
460000,0.46399063,153.77142857142857,-9.315584,14.0997095,-1.9029228429709162,-1.9029228429709162,0.3072377745394728,1.0
465000,0.47519764,114.30434782608695,-3.9707391,16.990322,-2.450458651246584,-2.450458651246584,0.1884048665062595,1.0
470000,0.38445562,89.45283018867924,-8.683379,21.301418,-2.4761188509610466,-2.4761188509610466,0.18130785862054183,1.0
475000,0.33059257,143.05555555555554,-5.4903703,17.630299,-1.8286749657450452,-1.8286749657450452,0.2305052372911531,1.0
480000,0.3491135,56.72289156626506,-4.878105,15.559224,-2.6295252875929855,-2.6295252875929855,0.39880116885746775,1.0
485000,0.2597024,194.23809523809524,-5.54267,15.700541,-1.5195095109797658,-1.5195095109797658,0.21970904214928547,1.0
490000,0.374791,250.84,-11.007626,24.19337,-1.5486679942905903,-1.5486679942905903,0.43068344837985933,1.0
495000,0.29361233,57.34090909090909,-7.3414416,15.545058,-2.7516651498467737,-2.7516651498467737,0.12642022402266437,1.0
500000,0.40371013,169.8846153846154,-4.9371862,14.624491,-1.9834269253680339,-1.9834269253680339,0.24719443096994206,1.0
