Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,0.50306386,241.0909090909091,1194.006110623558,-77.4256,128.89111,-0.4054548361084678,-0.4054548361084678,0.0,1.0
10000,0.21497644,324.2,1186.01452822468,-92.168144,94.29681,0.24399957656860352,0.24399957656860352,0.0,1.0
15000,0.42698953,283.8,1181.020004445804,-118.10391,124.792496,-0.08400030136108398,-0.08400030136108398,246.4,1.0
20000,0.27502406,722.0,1175.5262157637103,-127.13774,120.5106,5.039999147256215,5.039999147256215,520.3333333333334,1.0
25000,0.25641584,1007.5384615384615,1166.0374508136592,-45.103596,69.95675,8.84153729218703,8.84153729218703,654.0769230769231,1.0
30000,0.39606625,327.3333333333333,1155.051177118482,-85.45421,120.28031,2.588888386885325,2.588888386885325,328.3333333333333,1.0
35000,0.73593104,724.5,1147.561049415753,-53.7754,106.75937,7.881665468215942,7.881665468215942,725.5,1.0
40000,0.4547683,1971.0,1144.0657991800124,-14.126253,80.309,26.079996526241302,26.079996526241302,1972.0,1.0
45000,0.5065802,None,None,-13.080764,82.96565,None,None,None,1.0
50000,0.5175619,2795.5,1142.5678700867172,-24.725994,83.14608,27.98999723792076,27.98999723792076,2782.7062797546387,1.0
55000,0.18039018,1481.4285714285713,1138.074203178271,-73.299,53.396164,12.764284150941032,12.764284150941032,1373.9767319134303,1.0
60000,0.3284303,321.0,1132.0828768807892,-72.48049,80.26011,1.4519996047019958,1.4519996047019958,233.23492975234984,1.0
65000,0.5014406,1631.4,1127.8903332599184,-72.61955,96.87798,14.46399820148945,14.46399820148945,1288.5851481854916,1.0
70000,0.55054563,1110.0,1124.5956522968759,-71.28875,84.25918,8.104998677968979,8.104998677968979,541.0403492450714,1.0
75000,0.52079093,877.0,1122.5987434517097,-69.864525,77.87865,6.819999039173126,6.819999039173126,639.6060214042664,1.0
80000,0.50915474,1648.5,1118.938377184578,-71.93292,73.46221,14.989998124539852,14.989998124539852,792.5971626192331,1.0
85000,0.6379036,336.1666666666667,1113.61471334743,-71.49098,86.767075,0.6999996105829874,0.6999996105829874,147.68717416127524,1.0
90000,0.7984978,1093.7142857142858,1107.839831177079,-24.695072,76.64541,9.414284665669713,9.414284665669713,837.369032229696,1.0
95000,0.7534095,1300.4,1102.535850398365,-9.787399,61.90165,11.52799861729145,11.52799861729145,871.064034807682,1.0
100000,0.872718,953.5,1099.641999691661,-6.1299853,89.19063,6.539998948574066,6.539998948574066,329.92986077070236,1.0
105000,1.1269438,523.0,1097.1464680095557,-8.059203,168.4751,3.8633326292037964,3.8633326292037964,13.993946626782417,1.0
110000,1.041556,400.0,1090.6584249414118,-32.096565,124.59138,1.756999570131302,1.756999570131302,88.21029453352094,1.0
115000,0.6946755,275.0,1084.1707532394314,-12.781888,118.75879,-0.19666691621144614,-0.19666691621144614,132.31575922171274,1.0
120000,0.8126188,232.5,1081.6756322806946,-2.8798375,123.25172,-0.5950002074241638,-0.5950002074241638,33.44912016391754,1.0
125000,0.9854749,1027.0,1078.182594873831,2.2502415,120.65147,7.891999030113221,7.891999030113221,178.80486085414887,1.0
130000,0.63384086,2755.5,1075.189678260649,-6.280934,101.25773,26.324997402727604,26.324997402727604,834.9286333918571,1.0
135000,1.00063,4413.0,1073.6937783030876,-36.16902,121.28191,52.419994831085205,52.419994831085205,1440.3340564966202,1.0
140000,0.6091526,794.3333333333334,1067.2085394132062,-68.55296,125.93374,5.6183325462043285,5.6183325462043285,259.00452508280677,1.0
145000,0.78949773,245.0,1058.2293181062978,-44.898598,104.09416,0.12857113565717423,0.12857113565717423,26.571958337511337,1.0
150000,0.6403167,388.22222222222223,1050.247757030162,-8.81343,95.9155,3.462221701939901,3.462221701939901,104.18486372629802,1.0
155000,0.72571784,687.4545454545455,1040.2720277112714,-15.178123,102.407974,4.715453830632296,4.715453830632296,317.45401696725327,1.0
160000,0.69403785,822.4285714285714,1031.2950257680382,-12.591213,101.38355,5.7257134680237085,5.7257134680237085,227.014301857778,1.0
165000,0.31148052,359.6666666666667,1023.3165486213067,-45.551888,90.72854,1.183332966433631,1.183332966433631,192.20162313348717,1.0
170000,0.5510332,1182.142857142857,1015.3390371597145,-53.43625,98.2074,9.81714151586805,9.81714151586805,420.55409460408345,1.0
175000,1.0062871,259.6666666666667,1007.3626242849544,-60.333515,87.232544,-0.38111139006084865,-0.38111139006084865,6.987642675638199,1.0
180000,0.7607304,360.2,997.8920600440861,-38.199776,66.215416,1.0844441056251526,1.0844441056251526,13.655166510078642,1.0
185000,0.6647924,1251.75,989.4214044992966,-38.579056,78.58042,10.04110991458098,10.04110991458098,238.5047524240282,1.0
190000,0.42663565,388.5833333333333,979.9557733061765,-50.751446,80.58358,1.7291662593682606,1.7291662593682606,65.95558699096243,1.0
195000,0.1052023,348.4,968.9957772664138,-64.17945,82.93035,0.7009995937347412,0.7009995937347412,47.58429577946663,1.0
200000,0.32495603,362.0,960.0304285510604,-54.276043,85.00755,0.8699995279312134,0.8699995279312134,34.19460130110383,1.0
205000,0.36827856,298.2857142857143,952.5607101216858,-24.696516,112.62816,0.2714282529694693,0.2714282529694693,38.93810056362833,1.0
