Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,0.33149907,180.0952380952381,1189.582846300129,-8.894107,83.50157,-0.6991499304771424,-0.6991499304771424,0.0,1.0
10000,0.41022718,124.82978723404256,1162.7741002866803,-25.032782,60.382168,-0.48435407256086666,-0.48435407256086666,0.0,1.0
15000,0.28580296,125.33333333333333,1126.6074951649618,-15.776588,95.526054,-0.9232777257760366,-0.9232777257760366,111.61111111111111,1.0
20000,0.3908082,146.03333333333333,1099.0284424605297,-8.391149,72.20077,-0.4490999261538188,-0.4490999261538188,147.03333333333333,1.0
25000,0.20331012,254.7,1080.508630043409,-8.739005,70.90142,0.7680001556873322,0.7680001556873322,255.7,1.0
30000,0.33975714,175.3548387096774,1059.004578435108,-14.228554,92.39533,-0.2079353678611017,-0.2079353678611017,176.3548387096774,1.0
35000,0.43834054,403.45454545454544,1046.4024480501685,-28.241455,66.437065,3.7189093936573374,3.7189093936573374,252.0586095831611,1.0
40000,0.32253012,162.97058823529412,1031.868347233777,-0.29803276,73.92747,0.07482364949058085,0.07482364949058085,147.61212031981523,1.0
45000,0.34231457,179.23076923076923,1005.9911451596324,-2.121383,80.88001,-0.43276915412682754,-0.43276915412682754,124.55185135511252,1.0
50000,0.2579628,324.2307692307692,991.4374404657592,4.97992,68.19051,2.105769482942728,2.105769482942728,238.2157131433487,1.0
55000,0.1408472,464.0833333333333,986.8063693225763,-16.488775,60.545673,4.093333686391513,4.093333686391513,336.0654223362605,1.0
60000,0.3032682,273.2105263157895,980.504581423667,-15.645172,82.510666,1.365737027243564,1.365737027243564,109.67058678520353,1.0
65000,0.30918714,190.96428571428572,963.6254525537698,-7.2068496,84.33784,-0.10771416340555463,-0.10771416340555463,74.78933948225209,1.0
