Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,0.37616524,199.11111111111111,1195.0050725255815,11.25474,49.32385,-1.0088891320758395,-2.017778264151679,0.0,1.0
20000,0.40717867,1718.6666666666667,1189.0113131314836,-34.261326,40.09362,14.186664640903473,28.373329281806946,0.0,1.0
30000,0.6223701,958.0526315789474,1178.0760889486626,-1.6142373,46.584904,7.511051492471444,15.022102984942888,303.1578947368421,1.0
40000,0.7654547,788.4166666666666,1163.5416802267173,18.958363,41.91173,10.597499186793963,21.194998373587925,720.0833333333334,1.0
50000,0.84676254,814.0833333333334,1151.5569445517233,23.621176,39.32557,8.899998938043913,17.799997876087826,815.0833333333334,1.0
60000,0.7158538,677.8333333333334,1139.5732975991189,10.747803,47.73163,7.003332406282425,14.00666481256485,678.8333333333334,1.0
70000,0.5604597,599.1481481481482,1120.102615717766,14.547655,40.25741,6.416295592431669,12.832591184863338,571.7036869084394,1.0
80000,0.37450913,639.2,1101.6331602845123,-39.00662,27.473343,2.9355550010999045,5.871110002199809,510.0600365532769,1.0
90000,0.6471852,174.0,1092.6493425708125,-47.911873,38.100624,1.1911107235484653,2.3822214470969305,301.34642113579645,1.0
100000,0.548694,4999.0,1089.158676331088,-45.6731,40.07091,52.20499460399151,104.40998920798302,3209.787752702832,1.0
110000,0.6053056,370.2857142857143,1085.1672653224994,-19.615255,40.270367,1.2599996072905404,2.519999214581081,257.16559106963024,1.0
120000,0.6668495,1610.0,1081.175042341982,-22.208096,55.448025,13.499998271465302,26.999996542930603,549.3939957618713,1.0
130000,0.61532176,4999.0,1081.1789980958526,-14.683538,48.914253,52.20666213333607,104.41332426667213,1264.2764724195004,1.0
140000,0.4874933,954.4117647058823,1072.1993341774607,2.068177,28.763166,7.434116668560925,14.86823333712185,299.9371812904582,1.0
150000,0.57397985,240.46153846153845,1057.2318092628755,-7.633507,29.529518,-0.3092310015971844,-0.6184620031943688,80.05720649086513,1.0
160000,0.42676258,624.1851851851852,1037.35418857616,-16.57513,29.779343,4.094443814346084,8.188887628692168,281.86664255874024,1.0
170000,0.5964527,674.4,1017.669634051537,1.9577304,48.03598,5.067332607507706,10.134665215015412,165.00835228264333,1.0
180000,0.4267029,1005.1111111111111,1006.3714117770758,-3.7486355,84.43423,7.774443440967136,15.548886881934273,206.38041925430298,1.0
190000,0.54927135,898.0,1001.3867250224126,13.6981735,96.27876,6.099999189376831,12.199998378753662,41.46612827479839,1.0
200000,0.4637381,1129.5,999.8914249789375,5.637096,93.62296,8.294998615980148,16.589997231960297,49.70397129654884,1.0
210000,0.70295405,401.3636363636364,993.4123450802039,10.542756,48.668938,2.7772722244262695,5.554544448852539,53.205672762610696,1.0
220000,0.68775976,1448.25,985.93727948046,4.516373,46.67822,13.569998502731323,27.139997005462646,83.41716042160988,1.0
230000,0.6974468,3166.5,983.4475802663978,11.164942,79.58944,33.304996974766254,66.60999394953251,163.12868675589561,1.0
240000,0.6639767,1933.5,981.4615084188539,17.68532,92.21645,18.774998272458713,37.54999654491743,104.98314563930035,1.0
250000,0.52282375,2024.0,976.4827914037875,-8.208246,42.631466,19.936664797365665,39.87332959473133,99.23562209804852,1.0
260000,0.34597686,965.6666666666666,967.5216513829097,-21.257006,5.6431346,8.247999053200086,16.495998106400172,53.42903892174363,1.0
270000,0.61252314,1973.0,959.5524488710133,-0.9146803,35.68017,16.78999787569046,33.57999575138092,88.78001928329468,1.0
280000,0.39793792,1098.4,951.7184502574702,5.414271,38.053974,9.261332199474175,18.52266439894835,217.2291734526555,1.0
290000,0.47140598,2642.3333333333335,943.9564853799875,17.09377,31.030262,26.30333082874616,52.60666165749232,351.0294702748458,1.0
300000,0.72243947,1601.857142857143,939.6451220901582,6.1248937,45.13317,15.892855192933764,31.785710385867528,211.65887152722902,1.0
310000,0.6448489,944.1428571428571,932.6768568090052,19.558926,40.320724,12.758569530078343,25.517139060156687,326.52895065716336,1.0
320000,0.6836091,947.0,927.7002676340986,-9.369248,39.239925,13.339997808138529,26.679995616277058,83.15425616502762,1.0
330000,0.5743976,1635.875,922.2269162175166,-5.414533,45.2628,21.92999739944935,43.8599947988987,212.6525219809264,1.0
340000,0.81793165,886.2666666666667,910.785473753932,-3.9840477,36.634144,15.390665741761525,30.78133148352305,172.59379618167878,1.0
350000,0.6615039,595.8333333333334,897.3589476076166,12.066294,50.997967,7.499998942017555,14.99999788403511,288.4674121985833,1.0
360000,0.5513211,346.3,886.423158286049,12.776361,56.19366,3.3799992918968202,6.7599985837936405,43.34380456991494,1.0
370000,0.24424046,1112.0,875.2123255431853,-3.74726,33.661438,13.600712543087345,27.20142508617469,240.99976983772856,1.0
380000,0.12630852,369.0,859.605760374293,-20.256985,7.559334,1.4155551460054185,2.831110292010837,42.00239039046897,1.0
390000,0.22928925,1321.6153846153845,845.2192143826784,-12.687535,1.8781135,11.306152357504917,22.612304715009834,169.5374863591905,1.0
